ingredients,safe_ingredients,harmful_ingredients,general_health_assessment,toxicity_score,allergen_risk,regulatory_status
"Water, Cyclohexasiloxane, Dimethicone, Glycerin, Butylene Glycol, Niacinamide, Alcohol Denat., Phenoxyethanol, Sodium Hyaluronate, PEG-10 Dimethicone, Ammonium Acryloyldimethyltaurate/VP Copolymer, Dimethicone/Vinyl Dimethicone Crosspolymer, Ethylhexylglycerin, Adenosine, Panthenol, Xanthan Gum, Disodium EDTA, Tocopheryl Acetate, Citric Acid, Sodium Citrate","['Water', 'Glycerin', 'Niacinamide', 'Sodium Hyaluronate']","['Cyclohexasiloxane', 'Alcohol Denat.', 'Phenoxyethanol']","This product is generally safe for use, but Cyclohexasiloxane and Alcohol Denat. may cause dryness or irritation in some users.",Moderate,Moderate,"Approved"
"Water, Glycerin, Niacinamide, Dimethicone, Alcohol Denat., Butylene Glycol, Palmitic Acid, Stearic Acid, Myristic Acid, Glyceryl Stearate, PEG-100 Stearate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Phenoxyethanol, Caprylyl Glycol, Xanthan Gum, Ethylhexylglycerin, Disodium EDTA, Tocopherol, Ascorbyl Glucoside, Sodium Hyaluronate, Adenosine, Citric Acid, Sodium Citrate","['Water', 'Glycerin', 'Niacinamide', 'Sodium Hyaluronate']","['Alcohol Denat.', 'Phenoxyethanol', 'Dimethicone']","The product is safe for most skin types, but Alcohol Denat. and Phenoxyethanol may cause irritation in sensitive individuals.",Moderate,Moderate,"Approved"
"Organic Quinoa, Black Beans, Sweet Corn, Red Bell Pepper, Lime Juice, Olive Oil, Cilantro, Sea Salt","['Organic Quinoa', 'Black Beans', 'Sweet Corn', 'Olive Oil']","['Sea Salt (excessive sodium)']","This salad mix is highly nutritious and safe. However, excessive sodium intake from sea salt may pose risks for hypertension.",Low,Low,"Approved"
"Water, Cetearyl Alcohol, Behentrimonium Chloride, Glycerin, Cetrimonium Chloride, Amodimethicone, Fragrance, Phenoxyethanol, Citric Acid","['Water', 'Glycerin']","['Amodimethicone', 'Fragrance', 'Phenoxyethanol']","This hair conditioner is safe for most users, but Phenoxyethanol and Fragrance may cause scalp irritation in sensitive individuals.",Moderate,Moderate,"Approved"
"Whole Milk, Live Active Cultures (L. Bulgaricus, S. Thermophilus), Vitamin D3","['Whole Milk', 'Live Active Cultures']","['None']","This yogurt is a probiotic-rich, safe product with no harmful additives. Suitable for lactose-tolerant individuals.",Low,Moderate,"Approved"
"Cyclopentasiloxane, Dimethicone, Titanium Dioxide, Iron Oxides, Mica, Phenoxyethanol, Ethylhexylglycerin","['Titanium Dioxide', 'Iron Oxides']","['Cyclopentasiloxane', 'Phenoxyethanol']","This foundation provides good coverage, but Cyclopentasiloxane may clog pores, and Phenoxyethanol is a controversial preservative.",Moderate,Low,"Approved"
"Organic Rolled Oats, Almond Butter, Dark Chocolate Chips (Cocoa Mass, Cane Sugar, Cocoa Butter), Chia Seeds, Honey","['Organic Rolled Oats', 'Almond Butter', 'Chia Seeds']","['Dark Chocolate Chips (added sugar)']","A healthy snack bar with minimal additives. Dark chocolate contains added sugar, which should be consumed in moderation.",Low,Moderate,"Approved"
"Aqua, Hyaluronic Acid, Niacinamide, Panthenol, Allantoin, Phenoxyethanol, Ethylhexylglycerin","['Hyaluronic Acid', 'Niacinamide', 'Panthenol']","['Phenoxyethanol']","This serum is excellent for hydration and skin repair. Phenoxyethanol is a mild preservative but may irritate sensitive skin.",Low,Low,"Approved"
"Wild-Caught Salmon, Lemon Zest, Dill, Olive Oil, Black Pepper, Garlic Powder","['Wild-Caught Salmon', 'Lemon Zest', 'Olive Oil']","['None']","A nutrient-dense meal rich in omega-3s. No harmful ingredients detected.",Low,Low,"Approved"
"Water, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Fragrance, Citric Acid, Tetrasodium EDTA, Methylchloroisothiazolinone","['Water', 'Cocamidopropyl Betaine']","['Sodium Lauryl Sulfate', 'Fragrance', 'Methylchloroisothiazolinone']","This body wash effectively cleanses but contains SLS and Methylchloroisothiazolinone, which are linked to skin irritation.",High,High,"Approved"
"Organic Blueberries, Strawberries, Banana, Spinach, Almond Milk, Chia Seeds","['Organic Blueberries', 'Strawberries', 'Almond Milk']","['None']","A vitamin-packed smoothie with no additives. Safe for most diets, including vegan and gluten-free.",Low,Low,"Approved"
"Ethylhexyl Palmitate, Octyldodecanol, Synthetic Beeswax, Phenoxyethanol, Mica, Titanium Dioxide","['Synthetic Beeswax', 'Titanium Dioxide']","['Ethylhexyl Palmitate', 'Phenoxyethanol']","This lip balm moisturizes well, but Ethylhexyl Palmitate may cause breakouts in acne-prone skin.",Moderate,Low,"Approved"
"Grass-Fed Beef, Sea Salt, Black Pepper, Rosemary Extract","['Grass-Fed Beef', 'Rosemary Extract']","['Sea Salt (excessive sodium)']","High-quality protein source with minimal processing. Sodium content should be monitored for heart health.",Low,Low,"Approved"
"Water, Glycerin, Salicylic Acid, Niacinamide, Panthenol, Phenoxyethanol, Ethylhexylglycerin","['Salicylic Acid', 'Niacinamide', 'Panthenol']","['Phenoxyethanol']","This acne treatment is effective but contains Phenoxyethanol, which may irritate sensitive skin.",Moderate,Moderate,"Approved"
"Organic Chickpeas, Tahini, Lemon Juice, Garlic, Cumin, Sea Salt","['Organic Chickpeas', 'Tahini', 'Lemon Juice']","['Sea Salt (excessive sodium)']","A classic hummus recipe. Low risk except for sodium, which should be consumed in moderation.",Low,Low,"Approved"
"Cyclomethicone, Dimethicone, Isododecane, Polyethylene, Phenoxyethanol","['Dimethicone']","['Cyclomethicone', 'Isododecane', 'Phenoxyethanol']","This primer smooths skin texture but contains silicone-based ingredients that may not suit sensitive skin.",Moderate,Low,"Approved"
"Organic Kale, Avocado, Cucumber, Green Apple, Lemon Juice, Ginger","['Organic Kale', 'Avocado', 'Cucumber']","['None']","A detoxifying green juice with no harmful additives. Ideal for nutrient absorption.",Low,Low,"Approved"
"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Phosphoric Acid, Natural Flavors, Caffeine, Sodium Benzoate","['Carbonated Water', 'Natural Flavors']","['High Fructose Corn Syrup', 'Phosphoric Acid', 'Sodium Benzoate']","This soda contains high sugar and preservatives linked to metabolic issues. Sodium Benzoate may react with vitamin C to form benzene.",High,Moderate,"Approved"
"Aluminum Zirconium Tetrachlorohydrex Gly, Propylene Glycol, Stearyl Alcohol, Cyclopentasiloxane, Fragrance, Tocopheryl Acetate","['Tocopheryl Acetate']","['Aluminum Zirconium', 'Cyclopentasiloxane', 'Fragrance']","This deodorant may block sweat glands due to aluminum compounds. Cyclopentasiloxane is a silicone that may irritate sensitive skin.",Moderate,Moderate,"Approved"
"Organic Lentils, Quinoa, Spinach, Cherry Tomatoes, Olive Oil, Lemon Juice, Himalayan Pink Salt","['Organic Lentils', 'Quinoa', 'Spinach', 'Olive Oil']","['Himalayan Pink Salt (excessive sodium)']","A nutrient-dense salad with plant-based protein. Sodium content should be monitored for heart health.",Low,Low,"Approved"
"Sodium Lauryl Sulfate (SLS), Cocamidopropyl Betaine, Water, Glycerin, Citric Acid, Tetrasodium EDTA, Methylisothiazolinone","['Water', 'Glycerin']","['Sodium Lauryl Sulfate', 'Methylisothiazolinone']","This dish soap effectively cleans but contains SLS and Methylisothiazolinone, which are linked to skin irritation.",High,High,"Pending"
"Organic Matcha Powder, Almond Milk, Agave Syrup, Chia Seeds, Ice","['Organic Matcha', 'Almond Milk', 'Chia Seeds']","['Agave Syrup (high fructose)']","A refreshing drink rich in antioxidants. Agave syrup's high fructose content may impact blood sugar levels.",Low,Low,"Approved"
"Retinyl Palmitate, Dimethicone, Phenoxyethanol, Hyaluronic Acid, Green Tea Extract, Ethylhexylglycerin","['Hyaluronic Acid', 'Green Tea Extract']","['Retinyl Palmitate', 'Phenoxyethanol']","This anti-aging cream contains Retinyl Palmitate, which may cause skin sensitivity. Phenoxyethanol is a preservative with mild toxicity.",Moderate,Low,"Approved"
"Grass-Fed Whey Protein, Organic Cacao Powder, Monk Fruit Extract, Sunflower Lecithin, Pink Himalayan Salt","['Grass-Fed Whey Protein', 'Organic Cacao']","['Sunflower Lecithin (possible allergen)']","A high-quality protein powder. Sunflower lecithin may trigger allergies in rare cases.",Low,Moderate,"Approved"
"Water, Sodium Hydroxide, Cocamidopropyl Betaine, Lauryl Glucoside, Glycerin, Citric Acid, Fragrance","['Water', 'Lauryl Glucoside', 'Glycerin']","['Sodium Hydroxide', 'Fragrance']","This natural shampoo uses mild surfactants, but Sodium Hydroxide can disrupt pH balance. Fragrance may cause allergies.",Moderate,Moderate,"Approved"
"Wild Salmon, Asparagus, Olive Oil, Garlic, Rosemary, Black Pepper","['Wild Salmon', 'Asparagus', 'Olive Oil']","['None']","A heart-healthy meal rich in omega-3s and fiber. No harmful additives detected.",Low,Low,"Approved"
"Cyclomethicone, Dimethicone, Isododecane, Phenoxyethanol, Mica, Titanium Dioxide","['Dimethicone', 'Titanium Dioxide']","['Cyclomethicone', 'Isododecane', 'Phenoxyethanol']","This makeup primer provides a smooth base but contains silicones that may clog pores.",Moderate,Low,"Approved"
"Organic Rolled Oats, Almond Flour, Coconut Oil, Maple Syrup, Dark Chocolate Chips (70% Cocoa)","['Organic Rolled Oats', 'Almond Flour', 'Coconut Oil']","['Maple Syrup (added sugar)']","A gluten-free snack with healthy fats. Added sugar in maple syrup should be consumed mindfully.",Low,Moderate,"Approved"
"Water, Ethylhexylglycerin, Caprylyl Glycol, Phenoxyethanol, Panthenol, Allantoin, Chamomile Extract","['Panthenol', 'Allantoin', 'Chamomile Extract']","['Phenoxyethanol']","This soothing toner is ideal for sensitive skin, but Phenoxyethanol may cause mild irritation.",Low,Low,"Approved"
"Organic Chickpea Pasta, Tomato Basil Sauce, Olive Oil, Garlic, Nutritional Yeast","['Organic Chickpea Pasta', 'Tomato Basil Sauce', 'Nutritional Yeast']","['None']","A vegan-friendly meal packed with protein and B vitamins. No harmful additives.",Low,Low,"Approved"
"Water, Sodium Laureth Sulfate, Cocamide DEA, Sodium Chloride, Citric Acid, Tetrasodium EDTA, DMDM Hydantoin","['Water', 'Citric Acid']","['Sodium Laureth Sulfate', 'Cocamide DEA', 'DMDM Hydantoin']","This body wash contains Cocamide DEA, a potential carcinogen, and DMDM Hydantoin, a formaldehyde releaser.",High,High,"Banned"
"Organic Cold-Pressed Juice: Kale, Celery, Cucumber, Lemon, Ginger","['Kale', 'Celery', 'Cucumber', 'Lemon']","['None']","A detoxifying juice with no additives. Safe for most diets, including keto and vegan.",Low,Low,"Approved"
"Organic Oat Flour, Coconut Sugar, Almond Butter, Chia Seeds, Vanilla Extract, Baking Soda","['Organic Oat Flour', 'Almond Butter', 'Chia Seeds']","['Coconut Sugar (added sugar)']","Gluten-free cookies with healthy fats. Coconut sugar is natural but still a form of added sugar.",Low,Moderate,"Approved"
"Water, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Fragrance, Citric Acid, Methylchloroisothiazolinone","['Water', 'Cocamidopropyl Betaine']","['Sodium Lauryl Sulfate', 'Methylchloroisothiazolinone']","This shampoo may cause scalp irritation due to SLS and Methylchloroisothiazolinone, a potent preservative.",High,High,"Pending"
"Organic Quinoa, Black Beans, Avocado, Lime Juice, Cilantro, Olive Oil","['Organic Quinoa', 'Black Beans', 'Avocado']","['None']","A balanced, plant-based meal with no harmful additives. Rich in fiber and healthy fats.",Low,Low,"Approved"
"Zinc Oxide, Titanium Dioxide, Dimethicone, Cyclopentasiloxane, Phenoxyethanol, Iron Oxides","['Zinc Oxide', 'Titanium Dioxide']","['Cyclopentasiloxane', 'Phenoxyethanol']","Mineral sunscreen with UV protection. Silicones may not suit acne-prone skin.",Moderate,Low,"Approved"
"Grass-Fed Beef, Sea Salt, Black Pepper, Rosemary Oil","['Grass-Fed Beef', 'Rosemary Oil']","['Sea Salt (excessive sodium)']","High-quality protein source. Sodium content should be monitored for cardiovascular health.",Low,Low,"Approved"
"Water, Glycerin, Chamomile Extract, Aloe Vera, Phenoxyethanol, Ethylhexylglycerin","['Chamomile Extract', 'Aloe Vera']","['Phenoxyethanol']","Gentle baby wipes with soothing ingredients. Phenoxyethanol is a mild preservative.",Low,Low,"Approved"
"Organic Dates, Cashew Butter, Dark Chocolate (70% Cocoa), Himalayan Pink Salt","['Organic Dates', 'Cashew Butter']","['Dark Chocolate (added sugar)', 'Himalayan Pink Salt']","A natural energy bar. Added sugar and sodium should be consumed in moderation.",Low,Moderate,"Approved"
"Water, Sodium Laureth Sulfate, Cocamide MEA, Parfum, Tetrasodium EDTA, DMDM Hydantoin","['Water']","['Sodium Laureth Sulfate', 'Cocamide MEA', 'DMDM Hydantoin']","This body wash contains Cocamide MEA (potential carcinogen) and DMDM Hydantoin (formaldehyde releaser).",High,High,"Banned"
"Organic Spinach, Kale, Apple, Lemon, Ginger, Celery","['Organic Spinach', 'Kale', 'Apple']","['None']","A detoxifying green juice with no additives. Ideal for nutrient absorption.",Low,Low,"Approved"
"Cyclomethicone, Dimethicone, Isododecane, Mica, Phenoxyethanol, Titanium Dioxide","['Dimethicone', 'Titanium Dioxide']","['Cyclomethicone', 'Isododecane', 'Phenoxyethanol']","A lightweight makeup primer. Silicones may clog pores with prolonged use.",Moderate,Low,"Approved"
"Organic Chickpeas, Tahini, Lemon Juice, Garlic, Cumin, Olive Oil","['Organic Chickpeas', 'Tahini', 'Olive Oil']","['None']","Classic hummus with clean ingredients. Safe for vegan and gluten-free diets.",Low,Low,"Approved"
"Water, Ethanol, Isopropyl Alcohol, Glycerin, Hydrogen Peroxide, Fragrance","['Water', 'Glycerin']","['Ethanol', 'Isopropyl Alcohol', 'Fragrance']","Hand sanitizer effective against germs but may dry out skin. Fragrance is a potential allergen.",Moderate,Moderate,"Approved"
"Organic Rolled Oats, Almond Milk, Blueberries, Chia Seeds, Honey","['Organic Rolled Oats', 'Almond Milk', 'Blueberries']","['Honey (high sugar)']","A nutritious breakfast option. Honey is natural but high in sugar.",Low,Low,"Approved"
"Water, Sodium Hydroxide, Stearic Acid, Coconut Oil, Fragrance, Tetrasodium EDTA","['Coconut Oil']","['Sodium Hydroxide', 'Fragrance']","This soap contains Sodium Hydroxide (lye), which can irritate sensitive skin.",Moderate,Moderate,"Approved"
"Wild-Caught Salmon, Broccoli, Quinoa, Lemon, Olive Oil","['Wild-Caught Salmon', 'Broccoli', 'Quinoa']","['None']","A omega-3-rich meal with antioxidants. No harmful additives detected.",Low,Low,"Approved"
"Organic Almond Milk, Dates, Cocoa Powder, Sea Salt, Vanilla Extract","['Organic Almond Milk', 'Dates', 'Cocoa Powder']","['Sea Salt (excessive sodium)']","A dairy-free chocolate milk with natural sweetness. Sodium content should be moderated for heart health.",Low,Low,"Approved"
